domain,count
conservativebyte.com,510883
ewao.com,311163
adflegal.org,487253
barenakedislam.com,978103
21stcenturywire.com,988995
kingworldnews.com,896571
fridaymash.com,220968
RedIceCreations.com,560150
americanprogress.org,1028971
dailyheadlines.com,476185
freakoutnation.com,266748
tribuneherald.net,3825
clashdaily.com,584153
conservativeoutfitters.com,957532
makeamericagreattoday.com,19049
DProgram.net,961163
totalworldnews.com,2510
city-journal.org,654765
educate-yourself.org,727062
therightscoop.com,1105723
sensationalisttimes.com,40844
theuspatriot.com,957588
voxtribune.com,5046
SilverBearCafe.com,241781
therightplanet.com,282624
survivopedia.com,514714
yesimright.com,244848
presstv.com,1276001
wikispooks.com,975534
empiresports.co,15698
enabon.com,1230
trumpvision365.com,314
ronpaulinstitute.org,307296
amren.com,962418
madworldnews.com,617868
shiftfrequency.com,674820
katehon.org,290
Expose1933.com,545398
dailyusaupdate.com,5583
stneotscitizen.com,52578
thelibertybeacon.com,968012
sonsoflibertyradio.com,204401
therightstuff.biz,1
topinfopost.com,185357
addictinginfo.org,1083684
igrewupinusa.info,2035
conservativehq.com,234156
loanpride.com,845108
alternativemediasyndicate.com,50638
islamicanews.com,258083
policyreview.info,95008
platosguns.com,692966
trendingnewstoday.net,369
empireherald.com,172928
solari.com/blog,82660
theinformedamerican.net,157803
cowgernation.com,327048
local31news.com,1188
winkprogress.com,8606
onlineconservativepress.com,2364
concisepolitics.com,133411
derfmagazine.com,954452
naturalnews.com,1275737
libertyfederation.com,87252
rickwells.us,788563
libertytalk.fm,963161
politicalears.com,955207
nationalvanguard.org,1006680
dailybuzzlive.com,955626
www.rt.com,1062832
foodbabe.com,150588
theshovel.com.au,279191
flyheight.com,273830
politicsinformation.com,3135
qpolitical.com,103971
observatorial.com,8793
liveactionnews.org,552966
sheepkillers.com,25358
duffleblog.com,44803
world24monitor.com,47788
abriluno.com,82982
nationalreport.net,784993
everydayworldnews.com,1669
STAWealth.com,25022
superstation95.com,58881
horowitzfreedomcenter.org,30632
dennismichaellynch.com,1
realprogress.online,28
thecarsmagazine.com,1537
news4ktla.com,86041
icr.org,921613
PoliticalPieHole.com,24805
foreignpolicyjournal.com,402673
truthnetwork.com,22369
shareblue.com,704027
pollhype.com,82984
counterjihad.com,172863
usviewer.com,55941
presstv.ir,934951
checkoutthehealthyworld.com,244597
